entry	off	size	inflated	note	samples
39	0x1032000	1991403	3029413	zlib 1991403->3029413	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
40	0x1218800	72522	246916	zlib 72522->246916	w00s01apscan | bgm57_menu7_kgb1 | 9CXaSU2DEFGUf
41	0x122a800	146	242	zlib 146->242	.slot weapons 1 720896 | .slot my_outer_r_weapon_slot 1 2371584 | .slot lang_re_my_outer 1 294912
42	0x122b000	5695	34008	zlib 5695->34008	
43	0x122c800	342719	1008432	zlib 342719->1008432	3433&C3323#w' | pSSs"6bp"2DS | ww75y5i5v6S5
44	0x1280800	495220	1261780	zlib 495220->1261780	000000 0##300" | 000000000 330"3 | 00 # #######3
45	0x12f9800	943504	16719908	zlib 943504->16719908	UOSg!LLUUOSf! | 8,cMk%ZYEns,c | sMku[fWmk,c*
46	0x13e0000	23276	651332	zlib 23276->651332	)49u(16o$.2c"+/[``` | I8AC%DKN5+7: | /bhm/QW\=9BD%ELO5+58
47	0x13e6000	1990495	3356357	zlib 1990495->3356357	mo01m0010_myouter_ships.mdpe | mo01m0010_myouter_ships_L.mdpe | mo01m0010_sea_and_sky.mdpe
48	0x15cc000	32531	110813	zlib 32531->110813	bgm67_m_outer1 | bgm68_m_outer2 | bgm69_m_outer3
49	0x15d4000	104	135	zlib 104->135	.slot lang_re_my_outer_ap 1 114688 | scenerio.gcx | my_outer_ap.rlc
50	0x15d4800	470199	1261616	zlib 470199->1261616	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
51	0x1647800	1907148	11431972	zlib 1907148->11431972	QjjZZ,kHZUUWVHZHR | MsHZW_~|'ZiR | +sHZUWV\iZ'R_
52	0x1819800	1024265	4329508	zlib 1024265->4329508	&$$,MaR %R % | my_outer_ap_cz1.txp
53	0x1914000	1340766	1652865	zlib 1340766->1652865	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
54	0x1a5b800	59633	207254	zlib 59633->207254	w00s01apscan | 9CXaSU2DEFGUf | pw_sample001
55	0x1a6a800	106	140	zlib 106->140	.slot lang_re_my_outer_trade 1 94208 | scenerio.gcx | my_outer_trade.rlc
56	0x1a6b000	506145	2596972	zlib 506145->2596972	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
57	0x1ae7000	2118584	19509288	zlib 2118584->19509288	my_outer_trade_cz2.txp
58	0x1cec800	2940	73760	zlib 2940->73760	trade_proto.txp
59	0x1ced800	1335333	1832001	zlib 1335333->1832001	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
60	0x1e34000	19220	61654	zlib 19220->61654	9CXaSU2DEFGUf | pw_sample001 | my_outer_trade
61	0x1e39000	121	153	zlib 121->153	.slot dynamic_map_n02pw 1 2355200 | .slot lang_re_net_vs 1 12288 | scenerio.gcx
62	0x1e39800	90354	1626452	zlib 90354->1626452	9zuWU33333UVuy3Uv | WD@D"D@@DD@D"R | 73UwU53UwwUU
63	0x1e50000	1464617	2467953	zlib 1464617->2467953	dbgbox_raiton_shd.mdp | gg_box2m01.mdp | mgs3s_blue_goal1.mdp
64	0x1fb6000	80379	747168	zlib 80379->747168	
65	0x1fca000	36015	128219	zlib 36015->128219	E6BUS[?tCXpC | r002_seaside | r050_coffee01
66	0x1fd3000	122	153	zlib 122->153	.slot dynamic_map_n18pw 1 3457024 | .slot lang_re_net_vs 1 12288 | scenerio.gcx
67	0x1fd3800	75334	1605996	zlib 75334->1605996	!#""333331!0!TFWUuuWUXUUUUet | 6d9DDDDDDDDDDDDDDD | UpUUUUUUpXWE&p
68	0x1fe6000	1441903	2427681	zlib 1441903->2427681	dbgbox_raiton_shd.mdp | gg_box1m02.mdp | mgs3s_blue_goal1.mdp
69	0x2146800	79990	662848	zlib 79990->662848	
70	0x215a800	35960	127781	zlib 35960->127781	E6BUS[?tCXpC | r002_seaside | r050_coffee01
71	0x2163800	122	153	zlib 122->153	.slot dynamic_map_n22pw 1 2465792 | .slot lang_re_net_vs 1 12288 | scenerio.gcx
72	0x2164000	56150	1577244	zlib 56150->1577244	,-#####--,.....34,.,,,,,3433333 | )$$)&&&&/&///*!*! | 0000000W0W0WW00WWWW2W2(i(iiiii000000W2
73	0x2172000	1206759	2181937	zlib 1206759->2181937	dbgbox_raiton_shd.mdp | mgs3s_blue_goal1.mdp | mgs3s_blue_goal2.mdp
74	0x2299000	165023	1629456	zlib 165023->1629456	jA2?jA2?jA2>
75	0x22c1800	35339	126476	zlib 35339->126476	E6BUS[?tCXpC | r002_seaside | r050_coffee01
76	0x22ca800	69	70	zlib 69->70	scenerio.gcx | nht_sound_test.rlc
77	0x22cb000	1835	159836	zlib 1835->159836	nht_sound_test_cz0.txp | nht_sound_test_cz1.txp
78	0x22cb800	273607550	293895697	zlib 273607550->293895697	nht_sound_test.la3 | @@@@@@@@@@@@@@ | oss_bgm_bgm_pw_ad0010.sep
79	0x127ba800	20459	61231	zlib 20459->61231	9CXaSU2DEFGUf | pw_sample001 | r_net_coop2_weapon
80	0x127bf800	64	65	zlib 64->65	scenerio.gcx | ntconnect.rlc
81	0x127c0000	678262	3813624	zlib 678262->3813624	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
82	0x12866000	120861	352353	zlib 120861->352353	fult_piece_a.mdp | fult_piece_b.mdp | ibox_ration_a.mdp
83	0x12884000	18040	59270	zlib 18040->59270	9CXaSU2DEFGUf | pw_sample001 | r_net_coop2_weapon
84	0x12888800	71	89	zlib 71->89	scenerio.gcx | pre_extra.rlc
85	0x12889000	598572	1646788	zlib 598572->1646788	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
86	0x1291b800	290161	6819876	zlib 290161->6819876	pre_extra_cz0.txp
87	0x12962800	431022	6750244	zlib 431022->6750244	GddOc1a(EgeEaP | ZZZZeQa CAAC | PZPZfQa cACACya
88	0x129cc000	1675026	2729729	zlib 1675026->2729729	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
89	0x12b65000	17473	58100	zlib 17473->58100	9CXaSU2DEFGUf | pw_sample001 | sebgm_title_noise_1
90	0x12b69800	155	265	zlib 155->265	.slot weapons 4 2883584 | .slot net_sol_mdls 1 139264 | .slot net_sol_mdls_low 3 122880
91	0x12b6a000	18680	192628	zlib 18680->192628	8783975/&$( " | ($),.3::7;; | !&+,.28=;>??
92	0x12b6f000	331447	9302052	zlib 331447->9302052	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_coop_demo_cz1.txp
93	0x12bc0000	77147	245876	zlib 77147->245876	***)2221DDDC:::9 | ???=&&&%---+ | nnnqwwwUwwwG
94	0x12bd3000	1069708	1883777	zlib 1069708->1883777	XXXXXXXXXXXXXXXXXXX | lay_alt_timer_v.la3 | lay_call.la3
95	0x12cd8800	135	171	zlib 135->171	
96	0x12cd9000	171	319	zlib 171->319	.slot net_sol_mdls 1 139264 | .slot net_sol_sep 1 331776 | .slot weapons 5 3604480
97	0x12cd9800	53330	930168	zlib 53330->930168	fff&wwwwwwww | BDD!DD$1PfUUU | pg02x103!DDDD
98	0x12ce7000	398533	16171048	zlib 398533->16171048	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_date_mission_cz1.txp
99	0x12d48800	159351	377120	zlib 159351->377120	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
100	0x12d6f800	5946525	9095345	zlib 5946525->9095345	XXXXXXXXXXXXXXXXXXX | bino_item_def.mdp | came_item_def.mdp
101	0x1331b800	162	194	zlib 162->194	
102	0x1331c000	101	123	zlib 101->123	.slot lang_resident_lobby 1 319488 | @resident0.qar | resident.dar
103	0x1331c800	220967	2830604	zlib 220967->2830604	DDDDDDDDDDDDDD | DDDDDDDDDDDDDD | DDDDDDDDDDDDDD
104	0x13352800	4885261	7099281	zlib 4885261->7099281	face_tex_female.ohd | face_tex_male.ohd | face_tex_uniq.ohd
105	0x137fb800	158	190	zlib 158->190	
106	0x137fc000	168	313	zlib 168->313	.slot weapons 5 3604480 | .slot cbox 1 61440 | .slot book 3 61440
107	0x137fc800	86038	1225688	zlib 86038->1225688	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
108	0x13812000	396003	15650852	zlib 396003->15650852	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_main01_cz1.txp
109	0x13873000	204684	303608	zlib 204684->303608	***)2221DDDC:::9 | ???=&&&%---+ | tS;qP8+=<;3A@?_110%555#877C221E-,+;655-
110	0x138a5000	8011333	11828177	zlib 8011333->11828177	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
111	0x14049000	178	210	zlib 178->210	
112	0x14049800	74	80	zlib 74->80	@resident0.qar | resident.dar | scenerio.gcx
113	0x1404a000	10003	167988	zlib 10003->167988	fontprint.txp
114	0x1404c800	1722361	2271281	zlib 1722361->2271281	segrp_0_jochu_1system.sep | 251853 PW_EN | Lavf60.11.100
115	0x141f1000	153	191	zlib 153->191	
116	0x141f1800	177	331	zlib 177->331	.slot net_sol_mdls 1 139264 | .slot net_sol_mdls_low 6 245760 | .slot net_sol_sep 6 1990656
117	0x141f2000	123063	1217628	zlib 123063->1217628	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
118	0x14210800	422036	16359456	zlib 422036->16359456	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net01_cz1.txp
119	0x14278000	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
120	0x142af800	8453918	12721953	zlib 8453918->12721953	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
121	0x14abf800	178	210	zlib 178->210	
122	0x14ac0000	182	351	zlib 182->351	.slot net_sol_mdls 2 278528 | .slot net_sol_sep 2 663552 | .slot weapons 6 4325376
123	0x14ac0800	84672	1217448	zlib 84672->1217448	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
124	0x14ad5800	399958	16134180	zlib 399958->16134180	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net_coop2_cz1.txp
125	0x14b37800	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
126	0x14b6f000	8018237	11853809	zlib 8018237->11853809	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
127	0x15315000	178	210	zlib 178->210	
128	0x15315800	186	358	zlib 186->358	.slot net_sol_mdls 2 278528 | .slot net_sol_sep 2 663552 | .slot weapons 6 4325376
129	0x15316000	84672	1217456	zlib 84672->1217456	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
130	0x1532b000	399968	16134188	zlib 399968->16134188	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net_coop2_weapon_cz1.txp
131	0x1538d000	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
132	0x153c4800	8018232	11853809	zlib 8018232->11853809	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
133	0x15b6a800	178	210	zlib 178->210	
134	0x15b6b000	198	394	zlib 198->394	.slot net_sol_mdls 1 139264 | .slot net_sol_mdls_low 3 122880 | .slot net_sol_sep 4 1327104
135	0x15b6b800	84671	1217448	zlib 84671->1217448	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
136	0x15b80800	396006	15650852	zlib 396006->15650852	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net_coop4_cz1.txp
137	0x15be1800	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
138	0x15c19000	7907445	11703905	zlib 7907445->11703905	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
139	0x163a4000	178	210	zlib 178->210	
140	0x163a4800	188	363	zlib 188->363	.slot net_sol_mdls 1 139264 | .slot net_sol_mdls_low 3 122880 | .slot net_sol_sep 4 1327104
141	0x163a5000	84673	1217452	zlib 84673->1217452	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
142	0x163ba000	396012	15650856	zlib 396012->15650856	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net_coop4_ai_cz1.txp
143	0x1641b000	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
144	0x16452800	7721269	11507281	zlib 7721269->11507281	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
145	0x16bb0000	174	206	zlib 174->206	
146	0x16bb0800	187	352	zlib 187->352	.slot net_sol_mdls 2 278528 | .slot net_sol_sep 2 663552 | .slot weapons 3 2162688
147	0x16bb1000	84672	1217448	zlib 84672->1217448	DD4333#efffvwwwwwwwfffW | mffff6333333&"C | DD43rRu'233DD
148	0x16bc6000	396007	15650856	zlib 396007->15650856	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_net_prison_cz1.txp
149	0x16c27000	227266	356900	zlib 227266->356900	@DDDDDDDDffffffffffffffffffhffffffffffffff8 | uwuWgffffbfhh | DDDDDDDffffffffffffffffffffffffffffffff
150	0x16c5e800	7907435	11703905	zlib 7907435->11703905	amin_put_balloon.mdp | amin_put_def.eft | amin_put_def.mdp
151	0x173e9800	178	210	zlib 178->210	
152	0x173ea000	79	109	zlib 79->109	@resident0.qar | @resident1.qar | @resident2.qar
153	0x173ea800	46748	1311004	zlib 46748->1311004	8783975/&$( " | ($),.3::7;; | !&+,.28=;>??
154	0x173f6000	435429	13770784	zlib 435429->13770784	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_netcv_cz1.txp
155	0x17460800	159048	180260	zlib 159048->180260	***)2221DDDC:::9 | ???=&&&%---+ | tS;qP8+=<;3A@?_110%555#877C221E-,+;655-
156	0x17487800	6865977	10180433	zlib 6865977->10180433	XXXXXXXXXXXXXXXXXXX | fult_piece_a.mdp | fult_piece_b.mdp
157	0x17b14000	178	210	zlib 178->210	
158	0x17b14800	154	263	zlib 154->263	.slot net_sol_mdls 1 139264 | .slot net_sol_sep 1 331776 | .slot weapons 1 720896
159	0x17b15000	42389	966940	zlib 42389->966940	8783975/&$( " | ($),.3::7;; | !&+,.28=;>??
160	0x17b1f800	202115	12042276	zlib 202115->12042276	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_prologue_cz1.txp
161	0x17b51000	125767	147576	zlib 125767->147576	***)2221DDDC:::9 | ???=&&&%---+ | tS;qP8+=<;3A@?_110%555#877C221E-,+;655-
162	0x17b70000	5342423	7834337	zlib 5342423->7834337	XXXXXXXXXXXXXXXXXXX | fult_piece_a.mdp | fult_piece_b.mdp
163	0x18088800	158	190	zlib 158->190	
164	0x18089000	127	180	zlib 127->180	.slot weapons 11 7929856 | .slot net_sol_mdls 1 139264 | @resident0.qar
165	0x18089800	42957	1040648	zlib 42957->1040648	8783975/&$( " | ($),.3::7;; | !&+,.28=;>??
166	0x18094000	363018	11304992	zlib 363018->11304992	TTTT5qFk4Fb$ | TTTT;{Fk4Fb$ | r_title_cz1.txp
167	0x180ed000	159048	180260	zlib 159048->180260	***)2221DDDC:::9 | ???=&&&%---+ | tS;qP8+=<;3A@?_110%555#877C221E-,+;655-
168	0x18114000	6665646	9882945	zlib 6665646->9882945	XXXXXXXXXXXXXXXXXXX | fult_piece_a.mdp | fult_piece_b.mdp
169	0x1876f800	178	210	zlib 178->210	
170	0x18770000	68	86	zlib 68->86	scenerio.gcx
171	0x18770800	598573	1650884	zlib 598573->1650884	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
172	0x18803000	204034	11501600	zlib 204034->11501600	result_cz0.txp
173	0x18835000	1172779	8359992	zlib 1172779->8359992	&$$,MaR %R % | result_cz1.txp | result_cz2.txp
174	0x18953800	1355190	3801749	zlib 1355190->3801749	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
175	0x18a9e800	53787	204140	zlib 53787->204140	w00s01apscan | bgm74_ah_res_w | bgm95_additional05
176	0x18aac000	67	85	zlib 67->85	scenerio.gcx
177	0x18aac800	466969	1187868	zlib 466969->1187868	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
178	0x18b1f000	1906348	21938208	zlib 1906348->21938208	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
179	0x18cf0800	357198	5476384	zlib 357198->5476384	GddOc1a(EgeEaP | ZZZZeQa CAAC | PZPZfQa cACACya
180	0x18d48000	1810961	2809665	zlib 1810961->2809665	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
181	0x18f02800	31713	108617	zlib 31713->108617	sebgm_title_noise_1 | bgm96_additional06 | 9CXaSU2DEFGUf
182	0x18f0a800	155	258	zlib 155->258	.slot weapons 1 720896 | .slot my_outer_r_weapon_slot 1 2371584 | .slot net_sol_mdls 1 139264
183	0x18f0b000	545794	1327340	zlib 545794->1327340	000000 0##300" | 000000000 330"3 | 00 # #######3
184	0x18f90800	352307	10006564	zlib 352307->10006564	vs_lobby_cz0.txp
185	0x18fe7000	14254	630820	zlib 14254->630820	vs_lobby_cz1.txp
186	0x18fea800	2272231	36438052	zlib 2272231->36438052	vs_lobby_cz2.txp
187	0x19215800	1688146	2829109	zlib 1688146->2829109	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
188	0x193b2000	24166	72907	zlib 24166->72907	bgm99_additional09 | 9CXaSU2DEFGUf | pw_sample001
189	0x193b8000	102	131	zlib 102->131	.slot lang_re_vs_result 1 180224 | scenerio.gcx | vs_result.rlc
190	0x193b8800	466969	1187868	zlib 466969->1187868	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
191	0x1942b000	203540	11464740	zlib 203540->11464740	vs_result_cz0.txp
192	0x1945d000	14258	630820	zlib 14258->630820	vs_result_cz1.txp
193	0x19460800	430607	638705	zlib 430607->638705	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
194	0x194ca000	23263	84346	zlib 23263->84346	bgm74_ah_res_w | bgm95_additional05 | bgm93_additional03
195	0x194d0000	133	203	zlib 133->203	.slot dynamic_map_w00s01a 1 1355776 | .slot lang_re_w00s01a 1 90112 | .vram w00s01a.vrd w00s01a.vram
196	0x194d0800	627	2544	zlib 627->2544	
197	0x194d1000	143657	251858	zlib 143657->251858	UI&VugffwwwvvgU | 100$&6BpwU&G# | ;<=! :: !  !8O'PQRS/
198	0x194f4800	289272	1724736	zlib 289272->1724736	=>?@A=/B&CDEFG | &')H)',I-JKL2MNO | R8STUNT/VWXY
199	0x1953b800	7962239	9258849	zlib 7962239->9258849	nrtn_bik_def_dmo.mdpe | sna_naked_op.mdpe | D0010_SD0010m_op.la3
200	0x19cd3800	26097	130224	zlib 26097->130224	
201	0x19cda000	447	1216	zlib 447->1216	
202	0x19cda800	93743	330144	zlib 93743->330144	w00s01apscan | E6BUS[?tCXpC | v329_034_rtr_kaz_1
203	0x19cf1800	129	192	zlib 129->192	.slot dynamic_map_w00s01a 1 1355776 | .slot lang_re_w00s01apscan 1 53248 | w00s01apscan.geom
204	0x19cf2000	329797	2142520	zlib 329797->2142520	bC3{T7'W`A/]_?-[M0 E8 | ZZZZZ[\]^_`O | 6ZZZZZ6b\cdPePS
205	0x19d43000	3445521	5120413	zlib 3445521->5120413	ene_msf_tutorial.mtar | ene_msf_tutorial.mtsq | )`|#e<k7R@HA!;
206	0x1a08c800	26698	136256	zlib 26698->136256	
207	0x1a093800	434	1216	zlib 434->1216	
208	0x1a094000	87739	329630	zlib 87739->329630	w00s01apscan | v329_034_rtr_kaz_1 | v329_032_rtr_kaz_2
209	0x1a0a9800	125	174	zlib 125->174	.slot dynamic_map_w01s01a 1 2580480 | .slot lang_re_w01s01a 1 1257472 | w01s01a.geom
210	0x1a0aa000	450505	2769820	zlib 450505->2769820	%""UUff""%""""R | 33333333333333333333333333333333333333333333333333333343333333333333DDD4CD4CDDDD | wwxwwwwxw&UbV%
211	0x1a118000	3282750	5838897	zlib 3282750->5838897	ROOT_cmobj_bigbouy_vcol16.mdp | ROOT_cmobj_bouy.mdp | ROOT_cmobj_bouy_chip.mdp
212	0x1a439800	219803	889376	zlib 219803->889376	
213	0x1a46f800	22468	50336	zlib 22468->50336	
214	0x1a475000	108300	378426	zlib 108300->378426	w00s01apscan | E6BUS[?tCXpC | v329_034_rtr_kaz_1
215	0x1a48f800	124	172	zlib 124->172	.slot dynamic_map_w01s01b 1 2490368 | .slot lang_re_w01s01b 1 81920 | w01s01b.geom
216	0x1a490000	185112	2236892	zlib 185112->2236892	%""UUff""%""""R | 33333333333333333333333333333333333333333333333333333343333333333333DDD4CD4CDDDD | wwxwwwwxw&UbV%
217	0x1a4bd800	6420957	9820945	zlib 6420957->9820945	ROOT_cmobj_bigbouy_vcol16.mdp | ROOT_cmobj_coconuts_a0.mdp | ROOT_cmobj_ship_b0_vcol16.mdp
218	0x1aadd800	206451	820752	zlib 206451->820752	
219	0x1ab10000	30350	76464	zlib 30350->76464	
220	0x1ab17800	100412	360054	zlib 100412->360054	w00s01apscan | E6BUS[?tCXpC | v329_034_rtr_kaz_1
221	0x1ab30800	142	221	zlib 142->221	.slot hostage_mdls 1 401408 | .slot dynamic_map_w01s02a 1 1695744 | .slot lang_re_w01s02a 1 57344
222	0x1ab31000	96133	2089200	zlib 96133->2089200	!2"""""""""""#! | ""2"""""""3""B""""C""" | 2323"2#DCDE3#
223	0x1ab48800	1066036	2639329	zlib 1066036->2639329	fultonbox.mtar | fultonbox.mtsq | leaf_obj.mdp
224	0x1ac4d000	224072	854656	zlib 224072->854656	?d]oF^#zE##|F | d]oF^#zE##|F | ?d]oF^#zE##|F
225	0x1ac84000	44795	101072	zlib 44795->101072	EzE%FYF[F|IXF
226	0x1ac8f000	103	344	zlib 103->344	
227	0x1ac8f800	115685	441846	zlib 115685->441846	w00s01apscan | E6BUS[?tCXpC | v329_034_rtr_kaz_1
228	0x1acac000	122	159	zlib 122->159	.slot dynamic_map_w01s02n 1 1589248 | .slot lang_re_net_vs 1 12288 | w01s02n.geom
229	0x1acac800	57948	1552736	zlib 57948->1552736	,-#####--,.....34,.,,,,,3433333 | )$$)&&&&/&///*!*! | 0000000W0W0WW00WWWW2W2(i(iiiii000000W2
230	0x1acbb000	1019839	2531473	zlib 1019839->2531473	dbgbox_raiton_shd.mdp | leaf_obj.mdp | leaf_obj_g.mdp
231	0x1adb4000	204400	672192	zlib 204400->672192	d]oF^#zE##|F | ?d]oF^#zE##|F | ?d]oF^#zE##|F
232	0x1ade6000	34997	126011	zlib 34997->126011	E6BUS[?tCXpC | r002_seaside | r050_coffee01
