location	bytes	magic	text_runs	samples
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry20@0x47000	12288	53508103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry21@0x4a000	10240	53508203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry22@0x4c800	16384	53508303	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry23@0x50800	16384	53508403	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry24@0x54800	18432	53508503	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry25@0x59000	16384	53508603	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry26@0x5d000	16384	53508703	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry27@0x61000	16384	53508803	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry28@0x65000	12288	53508903	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry29@0x68000	18432	53508a03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry30@0x6c800	14336	53508b03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry31@0x70000	10240	53508c03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry32@0x72800	10240	53508d03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry33@0x75000	10240	53508e03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry34@0x77800	10240	53508f03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry35@0x7a000	12288	53509003	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry36@0x7d000	12288	53509103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry37@0x80000	12288	53509203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry38@0x83000	12288	53509303	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry39@0x86000	14336	53509403	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry40@0x89800	14336	53509503	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry41@0x8d000	14336	53509603	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry42@0x90800	16384	53509703	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry43@0x94800	14336	53509803	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry44@0x98000	10240	53509903	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry45@0x9a800	10240	53509a03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry46@0x9d000	10240	53509b03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry47@0x9f800	12288	53509c03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry48@0xa2800	14336	53509d03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry49@0xa6000	16384	53509e03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry50@0xaa000	14336	53509f03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry51@0xad800	14336	5350a003	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry52@0xb1000	12288	5350a103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry53@0xb4000	12288	5350a203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry54@0xb7000	14336	5350a303	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry55@0xba800	12288	5350a403	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry56@0xbd800	8192	5350a503	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry57@0xbf800	10240	5350a603	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry58@0xc2000	10240	5350a703	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry59@0xc4800	18432	5350a803	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry60@0xc9000	18432	5350a903	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry61@0xcd800	16384	5350aa03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry62@0xd1800	26624	5350ab03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry63@0xd8000	14336	5350ac03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry64@0xdb800	18432	5350ad03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry65@0xe0000	18432	5350ae03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry66@0xe4800	20480	5350af03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry67@0xe9800	10240	5350b003	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry68@0xec000	10240	5350b103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry69@0xee800	10240	5350b203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry70@0xf1000	16384	5350b303	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry71@0xf5000	12288	5350b403	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry72@0xf8000	12288	5350b503	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry73@0xfb000	12288	5350b603	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry74@0xfe000	8192	5350b703	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry75@0x100000	14336	5350b803	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry76@0x103800	14336	5350b903	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry77@0x107000	20480	5350ba03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry78@0x10c000	18432	5350bb03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry79@0x110800	18432	5350bc03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry80@0x115000	12288	5350bd03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry81@0x118000	12288	5350be03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry82@0x11b000	12288	5350bf03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry83@0x11e000	20480	5350c003	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry84@0x123000	22528	5350c103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry85@0x128800	14336	5350c203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry86@0x12c000	16384	53506c07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry87@0x130000	18432	53506d07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry88@0x134800	20480	53506e07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry89@0x139800	10240	53506f07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry90@0x13c000	14336	53507007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry91@0x13f800	12288	53507107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry92@0x142800	12288	53507207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry93@0x145800	12288	53507307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry94@0x148800	18432	53507407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry95@0x14d000	14336	53507507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry96@0x150800	14336	53507607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry97@0x154000	14336	53507707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry98@0x157800	12288	53507807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry99@0x15a800	14336	53507907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry100@0x15e000	10240	53507d07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry101@0x160800	8192	53507e07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry102@0x162800	8192	53507f07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry103@0x164800	10240	53508007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry104@0x167000	12288	53508107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry105@0x16a000	10240	53508207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry106@0x16c800	12288	53508307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry107@0x16f800	14336	53508407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry108@0x173000	10240	53508507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry109@0x175800	10240	53508607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry110@0x178000	12288	53508707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry111@0x17b000	10240	53508807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry112@0x17d800	12288	53508907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry113@0x180800	8192	53508a07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry114@0x182800	12288	53508b07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry115@0x185800	14336	53508c07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry116@0x189000	22528	53508d07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry117@0x18e800	10240	53508e07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry118@0x191000	8192	53508f07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry119@0x193000	10240	53509007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry120@0x195800	10240	53509107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry121@0x198000	8192	53509207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry122@0x19a000	8192	53509307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry123@0x19c000	8192	53509407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry124@0x19e000	10240	53509507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry125@0x1a0800	8192	53509607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry126@0x1a2800	10240	53509707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry127@0x1a5000	10240	53509807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry128@0x1a7800	10240	53509907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry129@0x1aa000	12288	53509a07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry130@0x1ad000	14336	53509b07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry131@0x1b0800	12288	53509c07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry132@0x1b3800	16384	53509d07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry133@0x1b7800	8192	53509e07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry134@0x1b9800	12288	53509f07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry135@0x1bc800	18432	5350a007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry136@0x1c1000	12288	5350a107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry137@0x1c4000	10240	5350a207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry138@0x1c6800	16384	5350a307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry139@0x1ca800	10240	5350a407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry140@0x1cd000	12288	5350a507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry141@0x1d0000	12288	5350a607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry142@0x1d3000	12288	5350a707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry143@0x1d6000	14336	5350a807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry144@0x1d9800	12288	5350a907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry145@0x1dc800	10240	5350aa07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry146@0x1df000	12288	5350ab07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry147@0x1e2000	10240	5350ac07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry148@0x1e4800	8192	5350ad07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry149@0x1e6800	10240	5350ae07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry150@0x1e9000	8192	5350af07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry151@0x1eb000	10240	5350b007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry152@0x1ed800	10240	5350b107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry153@0x1f0000	10240	5350b207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry154@0x1f2800	10240	5350b307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry155@0x1f5000	10240	5350b407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry156@0x1f7800	12288	5350b507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry157@0x1fa800	8192	5350b607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry158@0x1fc800	8192	5350b707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry159@0x1fe800	10240	5350b807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry160@0x201000	12288	5350b907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry161@0x204000	8192	5350ba07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry162@0x206000	8192	5350bb07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry163@0x208000	14336	5350bc07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry164@0x20b800	12288	5350bd07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry165@0x20e800	10240	5350be07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry166@0x211000	16384	5350bf07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry167@0x215000	14336	5350c007	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry168@0x218800	12288	5350c107	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry169@0x21b800	12288	5350c207	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry170@0x21e800	10240	5350c307	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry171@0x221000	10240	5350c407	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry172@0x223800	14336	5350c507	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry173@0x227000	8192	5350c607	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry174@0x229000	14336	5350c707	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry175@0x22c800	10240	5350c807	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry176@0x22f000	8192	5350c907	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry177@0x231000	10240	5350ca07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry178@0x233800	14336	5350cb07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry179@0x237000	12288	5350cc07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry180@0x23a000	8192	5350cd07	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry181@0x23c000	10240	5350ce07	0	
