count_mid	count_all	term	groups
5	5	Triggering	slot
5	5	VOCALOID Editor	slot
5	5	Voice Conversion Server	slot
5	7	WHITE	olang,slot
5	6	Waiting Room	slot
5	10	Zadornov's	codec
4	4	AP	slot
4	4	America's	codec,slot
4	5	BTR-60 PA	slot
4	6	Base Defense	slot
4	6	Battle Cries	slot
4	8	Battle Cry	olang,slot
4	4	Beware of Ghosts	slot
4	6	Black	olang,slot
4	8	Blow	slot
4	9	Bosque del Alba	codec,slot
4	4	CO-OP	slot
4	6	CO-OPS COMM	olang,slot
4	8	CO-OPS Comms	codec,slot
4	4	CODESA	codec,slot
4	5	Camera	slot
4	4	Change List Mode	olang,slot
4	4	Change Staff	olang,slot
4	6	Che Guevara	codec
4	4	Cobra Unit's	slot
4	5	Commander	slot
4	9	Confirm	olang,slot
4	4	Control Tower	codec,slot
4	6	Cuban Missile Crisis	codec,slot
4	4	Cuban Revolution	codec
4	4	Czarist Russia and	slot
4	6	DPM	olang,slot
4	4	Deathmatches	slot
4	11	Delete	olang,slot
4	10	EXTRAS	slot
4	4	Earth	codec,slot
4	4	East and West	codec,slot
4	5	FAL	slot
4	5	FOOD	slot
4	4	Fired	slot
4	6	Green	olang,slot
4	4	H	slot
4	130	If	olang,slot
4	5	Intel Team	codec,slot
4	13	Jack	slot
4	5	Kampfpistole	slot
4	5	LAV-Type G	slot
4	4	LOBBY	olang,slot
4	5	M21	slot
4	14	M653	slot
4	19	MAIN OPS	olang,slot
4	5	MBTk-70	olang,slot
4	5	MISSION SELECTOR	slot
4	4	MO_DEV_IT_	olang
4	4	MO_DEV_WP_	olang
4	4	Magnum	slot
4	7	Miller	codec,slot
4	6	Mining Pit	slot
4	4	Mother Base and	codec,slot
4	4	Network	slot
4	5	OFF	olang,slot
4	4	PSP	slot
4	5	PTSD	slot
4	4	Pacific	codec
4	8	Peace Walker Project	codec,slot
4	4	PlayStation	slot
4	4	REG	slot
4	4	Red Army	slot
4	5	Retrieve	slot
4	4	Round Time	slot
4	6	Rounds	slot
4	7	Ruinas de Xochiquetzal	slot
4	4	Russian	codec,slot
4	4	SEL	olang
4	4	SNAKE ONLY	slot
4	4	STA	olang,slot
4	9	START MISSION	slot
4	4	Santa Claus	codec,slot
4	5	Sleep Mode	slot
4	6	Snake Formation	codec,slot
4	4	Sorting Shed in Bananal Fruta de Oro	slot
4	4	Sputnik	codec
4	4	Supply Facility	slot
4	9	Support Strike Marker	slot
4	9	Support Supply Marker	slot
4	6	T-72U	slot
4	14	Target Practice	slot
4	5	The End	slot
4	171	This	slot
4	9	Time	olang,slot
4	8	Trenya	codec,slot
4	5	USE	olang,slot
4	10	Weapon	slot
4	4	Western	slot
4	4	World War II	codec,slot
4	4	XXMB of	olang,slot
4	6	Yellow	olang,slot
3	3	Add Stage	olang,slot
3	4	Africa	codec
3	6	Armor-Piercing	slot
3	4	Army	codec,slot
3	11	BACK	olang,slot
3	4	BASE	olang,slot
3	3	BJ	slot
3	5	BLACK	olang,slot
3	4	BTR-60 PB	slot
3	23	Back	olang
3	3	Back Gate of the U	slot
3	4	Banana	slot
3	5	Bigfoot	codec
3	3	British Navy	slot
3	4	CAP	olang,slot
3	3	CQC and	slot
3	3	Canyon	olang,slot
3	3	Capture Missions	slot
3	8	Carl Gustav	slot
3	8	Cecile	codec
3	6	Central Heredia	slot
3	4	China	slot
3	3	Chinese	slot
3	4	Cipher's	slot
3	3	Classified Document Retrieval	slot
3	3	Communications Tower	slot
3	3	Control the	slot
3	5	Custom	slot
3	3	D Team's	slot
3	3	DARPA	codec,slot
3	3	DEFCON	slot
3	4	DM	olang,slot
3	3	Dead Man's Treasure	slot
3	6	Defend the	slot
3	6	Eastern Lim	slot
3	5	End	olang,slot
3	5	Enemy Search	olang,slot
3	5	FIM-43	slot
3	4	FOX	slot
3	3	FREE	slot
3	5	FSLN	codec,slot
3	4	FSLN Comandante	olang,slot
3	3	First World War	slot
3	5	G11	slot
3	3	GA-KO	slot
3	3	GRU	codec
3	3	General	codec
3	3	General's	codec
3	3	German Empire	slot
3	3	Germany	slot
3	3	Granin's	codec
3	3	Grenade Launcher	slot
3	6	HOST SEARCH	olang,slot
3	3	HOST SEARCH and	olang,slot
3	3	HUNTING QUEST	slot
3	5	Hiroshima	codec,slot
3	3	Hold Up	slot
3	3	INFO_TOP	olang
3	3	INTERROGATE	olang
3	3	Indian	slot
3	3	JUMP	olang,slot
3	3	Japan's Self-Defence Force and	slot
3	3	Junction	olang,slot
3	3	KEY_TAB	olang
3	3	Kaz Miller's	slot
3	3	Krupp	slot
3	3	L2	olang
3	4	LEAF	slot
3	4	Limited	slot
3	3	M1	slot
3	9	M10	slot
3	3	MAD	codec,slot
3	4	MANAGE DATA	slot
3	4	MBTk-70 Custom	olang,slot
3	4	METAL GEAR	slot
3	3	MONSTER HUNTER FREEDOM	olang,slot
3	4	MP5SD2	olang,slot
3	4	MSF Entrance Exam	olang,slot
3	17	Make	olang,slot
3	10	Metal Gear	codec,slot
3	4	Mi-24D	slot
3	6	Mok	codec
3	4	Monsieur Miller	codec
3	3	Mother Base's	slot
3	3	N425D	slot
3	3	N425E	slot
3	3	N425G	slot
3	3	N425H	slot
3	3	NV	slot
3	3	National Military Command Center	slot
3	156	No	codec,slot
3	3	Normal Phase	slot
3	4	ON	olang,slot
3	3	Obtain	slot
3	3	PC	slot
3	4	PRISONER ESCORT	slot
3	5	Panama	codec,slot
3	3	Parisienne	codec,slot
3	5	Pentagon	codec,slot
3	8	Play	olang,slot
3	6	Player	slot
3	8	Pooyan Mission	slot
3	9	Professor G	codec,slot
3	3	R2	olang
3	6	RED	olang,slot
3	4	RPK	slot
3	3	Rank	slot
3	4	Rations	slot
3	3	Ravine	olang,slot
3	6	Reptile Pod	codec
3	3	Ridge	olang,slot
3	3	Rubber Slug	slot
3	3	S Rank	slot
3	3	SINGLE PLAYER	slot
3	3	SINGLE and CO-OPS	slot
3	3	SMK	slot
3	4	SNAKE	slot
3	4	STEALING GEAR	slot
3	4	STOP	olang,slot
3	6	Sartre	codec
3	6	Shagohod	codec
3	4	Shotgun	slot
3	4	Sigint	codec,slot
3	3	Smoke Grenade Launcher	slot
3	5	Snake Sync	codec,slot
3	3	Somoza and	codec
3	4	Sonic Eye	slot
3	3	Sorting Shed	olang,slot
3	4	Spanish	codec,slot
3	3	States	codec,slot
3	3	Strangelove's Cassette Tape	slot
3	3	Swamp	olang,slot
3	5	T-72A	slot
3	4	TARGET DEMOLITION	slot
3	4	TDM	olang,slot
3	3	TEAMs	slot
3	3	THIS	olang,slot
3	30	Take	slot
3	3	Target Demolition	slot
3	7	Throw	slot
3	3	Torture Sequence	slot
3	4	Trade Waiting Room	slot
3	3	Twilight	slot
3	5	UFOs	codec
3	3	UN	codec
3	5	University for Peace	codec,slot
3	3	Unlimited	slot
3	3	Vietnam	codec
3	3	WLAN	slot
3	3	WW2-era MG42	slot
3	3	Weapon-Attack Button	olang,slot
3	3	West Germany	codec,slot
3	5	White	olang,slot
2	3	ADM63	slot
2	3	AH56A-Bomber	slot
2	3	AH56A-Bomber Custom	slot
2	3	AH56A-Raider	slot
2	3	AH56A-Raider Custom	slot
2	2	AI Evolution	olang,slot
2	3	AI Laboratory	slot
2	2	AI's	codec,slot
2	2	AK's	slot
2	5	ARMORED VEHICLE BATTLE	slot
2	2	ARPA	codec
2	5	Aldea de	olang,slot
2	2	Allowing Mother Base	olang,slot
2	4	Amanda and	codec,slot
2	3	American-made	slot
2	2	Americans'	codec
2	2	Area	olang,slot
2	2	Armored Vehicle	olang,slot
2	10	Article	codec
2	9	Attack	olang,slot
2	8	B	slot
2	3	BATTLE DRESS	slot
2	2	BK	slot
2	3	BTR-60 PA Custom	slot
2	3	BTR-60 PB Custom	slot
2	10	Ballistic Shield	slot
2	2	Bananal Fruta de Oro Banana Plantation	slot
2	2	Base Missions	slot
2	2	Battle Tank	slot
2	2	Bipedal Locomotion	olang,slot
2	3	Blue	slot
2	2	Blueprints	slot
2	2	Box	olang,slot
2	2	British	codec,slot
2	2	C4 for	codec
2	2	CANCEL BATTLE CRY	olang,slot
2	2	CHOCOLATE CHIP	slot
2	2	CO-OP In	slot
2	2	CO-OP Ins	olang,slot
2	4	CO-OP Ring	olang,slot
2	2	CO-OPS MEMBERS	olang
2	2	CPR As	olang,slot
2	3	CPR Rescues	olang,slot
2	2	Camaraderie and Heroism	olang,slot
2	2	Cancel Aim	olang,slot
2	2	Cancel Entire Selection	olang,slot
2	2	Cancel Selection	olang,slot
2	3	Capture	olang,slot
2	2	Caribbean Sea	codec,slot
2	3	Chairman	slot
2	2	Cielo	codec
2	2	Claymore Disarmament	slot
2	2	Color	olang,slot
2	4	Colored	slot
2	3	Columbus	codec
2	2	Congo	codec
2	2	Constitution	olang,slot
2	2	Control Tower and	olang,slot
2	3	Country X	slot
2	2	Country Y	slot
2	2	Cover the	slot
2	2	DCI	slot
2	2	DEATH MATCH TEAM DEATH MATCH CAPTURE MISSION BASE MISSION	olang,slot
2	2	DESELECT	olang,slot
2	2	DESERT AUSCAM	slot
2	2	DIE	olang,slot
2	2	DTeam	slot
2	2	Data Installation	slot
2	6	Deathmatch	olang,slot
2	4	Defend	slot
2	2	Defend Key Supplies	slot
2	4	Descartes	codec
2	119	Details	olang,slot
2	6	Develop	olang,slot
2	3	Directional	olang
2	2	Disarm	slot
2	5	Discard	olang,slot
2	4	Display	olang,slot
2	61	Do	olang,slot
2	2	EM Net	slot
2	3	EM Wave Gun	slot
2	5	EVA	olang,slot
2	4	EZ Gun	slot
2	2	Effects	slot
2	4	English	codec
2	2	Enter ZAPPIN Mode	olang,slot
2	3	FOXHOUND	codec
2	3	FULTON RECOVERY	slot
2	4	Felynes	codec
2	2	Fulton Recoveries	olang,slot
2	2	Fulton Recoveries in VS	olang,slot
2	2	Fulton Recovery Device	slot
2	2	Fulton Surface-to-air Recovery System	codec
2	4	GEAR REX	slot
2	3	GHOST PHOTOGRAPHY	slot
2	3	GRAY	slot
2	2	GRN	olang,slot
2	2	Genes	olang,slot
2	3	German	codec,slot
2	39	Go	slot
2	10	Grenade	slot
2	2	Grenader	olang,slot
2	3	Guards	olang,slot
2	2	HELP_CONTENT1	olang
2	2	HELP_CONTENT2	olang
2	2	HILLSIDE	slot
2	2	HOST of	olang
2	4	Heaven	codec
2	2	Hind	codec,slot
2	5	Huey's	codec
2	2	Hunt the Gear REX	olang,slot
2	2	Hunt the Rathalos	olang,slot
2	2	Hunt the Tigrex	olang,slot
2	2	Hunting Quests	olang,slot
2	2	INFO_MODEL	olang
2	2	INFO_TOP_JAMP_0	olang
2	2	INFO_TOP_JAMP_1	olang
2	4	INVITE FRIEND	olang
2	3	Irazu	codec,slot
2	2	Italy	codec
2	2	Item Capture	slot
2	3	J	olang,slot
2	3	JUNGLE	slot
2	2	Jackal	codec
2	5	Japan's	codec
2	2	Japan's Three Non-Nuclear Principles	codec
2	2	KB of	olang
2	2	KEY	olang
2	2	KEY_F	olang
2	4	KHAKI	olang,slot
2	2	KONAMI	olang
2	4	Khaki	olang,slot
2	4	Kidnappers	olang,slot
2	2	Kotodama Effect	olang,slot
2	2	LAV-TYPE C	slot
2	2	LAV-TYPE C CUSTOM	slot
2	3	LAV-Type C	slot
2	3	LAV-Type G Custom	slot
2	4	LAW	slot
2	4	LIFE Recovery Rounds	slot
2	2	LIFE and PSYCHE	olang,slot
2	2	LIFE of the	slot
2	2	LT and RT	olang
2	9	LV	slot
2	5	Large	slot
2	2	Level of Camaraderie of	olang,slot
2	2	Lie	olang,slot
2	2	Life Recovery	slot
2	2	Loch Ness	codec
2	2	Loch Ness Monster	codec,slot
2	2	Look Left Right	olang,slot
2	2	Look Right Right	olang,slot
2	5	Love Box	olang,slot
2	6	M1C	slot
2	4	M47	slot
2	3	MAIN BASE	slot
2	2	MAIN OPS in the	olang,slot
2	2	MAP LIST	slot
2	2	MEMBERS	olang
2	4	METAL GEAR SOLID PEACE WALKER	slot
2	3	METAL GEAR SOLID PEACE WALKER HD EDITION	olang
2	3	METAL GEAR ZEKE	slot
2	6	MG3	slot
2	2	MO_DEV_METAL_	olang
2	2	MO_MO_STATUS_	olang
2	2	MO_TRADE_EXE_	olang
2	2	MP	slot
2	2	MSF Mother Base	olang,slot
2	2	MSF and Snake	olang,slot
2	2	Mammal Pod and Peace Walker	slot
2	2	Martians and	olang,slot
2	2	Mayan	slot
2	2	Mayan and Aztec	codec
2	3	Mi-24A Custom	slot
2	3	Mi-24D Custom	slot
2	2	Mine Base and	slot
2	2	Mining Barracks	olang,slot
2	2	Mission Select	slot
2	2	Mod	slot
2	5	Model Viewer	olang,slot
2	2	Mother Base's Kill House	slot
2	2	Mother Base's Shooting Range	slot
2	5	Mr	codec
2	2	Muerte	codec
2	5	N	olang,slot
2	2	N425A	slot
2	2	N425B	slot
2	2	N425C	slot
2	2	N425F	slot
2	2	N425J	slot
2	2	N425L	slot
2	2	NMCC	slot
2	3	NML	olang,slot
2	6	NO	slot
2	2	NWD-W202	slot
2	2	Nacional	codec,slot
2	4	Nahuelito	codec
2	4	Navy Blue	olang,slot
2	2	Nessie	codec
2	2	Nica	slot
2	2	Nicaraguan	codec
2	2	No Limit	slot
2	2	None Weapons Needed	slot
2	5	Normal	olang,slot
2	2	North and South	olang,slot
2	2	Nuclear Missile	olang,slot
2	3	ONE SHOT	slot
2	2	OPS	olang,slot
2	3	OPTIONS	slot
2	2	October	codec
2	5	Open	olang,slot
2	6	Outer Heaven	codec,slot
2	3	Outer Ops	codec,slot
2	6	P	slot
2	3	PAUSE	olang
2	4	PINK	olang,slot
2	2	PLAY VOICE	olang,slot
2	3	PM	slot
2	4	PSYCHE Recovery Rounds	slot
2	2	PSYCHE of the	slot
2	2	PTRD	slot
2	2	Panama Canal	olang,slot
2	2	Paparazzi	slot
2	3	Patriot	slot
2	3	Paz's	slot
2	4	Pink	olang,slot
2	74	Please	olang,slot
2	2	Prototype Tank	slot
2	2	Psyche Recovery	slot
2	3	RATHALOS	slot
2	4	RECRUIT	slot
2	4	RPG2	slot
2	7	Railgun	slot
2	2	Raises the	slot
2	2	Real Nuke	olang,slot
2	2	Remove Equipment	olang,slot
2	2	Rescue Box Uses	olang,slot
2	4	Reset	olang,slot
2	2	Reset Selection State	olang,slot
2	2	Restore Defaults	olang
2	5	Rio San Juan	codec,slot
2	2	Round	olang,slot
2	93	S	slot
2	2	SALT-II	codec,slot
2	2	SG	slot
2	3	SOLDIER SEARCH	olang,slot
2	2	SOUND DATA ONLY	olang,slot
2	2	SPAS	slot
2	3	SPLITTER	slot
2	3	SQUARES	slot
2	5	START	olang,slot
2	3	STN	slot
2	3	SUG	slot
2	2	San Jos	slot
2	3	San Juan	codec
2	2	Sandinista National Liberation Front	codec,slot
2	2	Self-Defense Force	codec
2	2	Skill Details	olang,slot
2	2	Small Maintenance Dock of the U	slot
2	2	Smoke Grenader	olang,slot
2	2	Smoke Rounds	slot
2	3	Snake Ins	olang,slot
2	2	Snake Synced	slot
2	3	Snake Syncs	olang,slot
2	2	Snake's	codec
2	2	Sony	codec
2	3	Southeastern	slot
2	2	Soviets'	codec
2	2	Spirit	slot
2	22	Stop	olang,slot
2	9	Stop the	slot
2	5	T	olang,slot
2	3	T-72A Custom	slot
2	3	T-72U Custom	slot
2	2	TIGER STRIPE	slot
2	3	TIGREX	slot
2	2	TITLE_START	olang
2	2	TPS-L2	slot
2	3	Tanegashima Musket	slot
2	11	Target	slot
2	6	Team Deathmatch	olang,slot
2	2	Team Deathmatches	slot
2	2	Teammates	olang,slot
2	2	Test	slot
2	4	The Boss and	olang,slot
2	6	The Boss's	codec
2	2	Tickets	slot
2	60	Time Limit	slot
2	3	Torture Chamber	slot
2	2	Training Mode	slot
2	4	Tree Bark	olang,slot
2	2	Trenya and	olang,slot
2	5	Tsar Bomba	codec,slot
2	4	Twin Barrel Shotgun	slot
2	3	UFO	codec
2	2	UNEQUIP	olang,slot
2	2	US	codec,slot
2	2	US Missile Base	olang,slot
2	2	USA	slot
2	2	UT Logo	slot
2	2	Underground Base	olang,slot
2	2	Underground Base and	slot
2	2	Underground Passage of the Mine Base	slot
2	2	Use C4 Charges	slot
2	2	VERSUS OPS MEMBERS	olang
2	3	VOL	olang,slot
2	3	Venceremos	slot
2	2	Vladimir	slot
2	2	Vladimir Zadornov	slot
2	2	Vladivostok	codec,slot
2	2	Vostok	codec
2	2	WALKMAN II	slot
2	2	WATR	olang,slot
2	2	WM-2	slot
2	2	WM-EX88	slot
2	2	Washington Treaty	slot
2	4	Water	olang,slot
2	2	Weapon and	olang,slot
2	4	William Walker	codec
2	4	XFIM-92A	slot
2	2	Xbox	olang
2	4	Xbox LIVE Party INVITE	olang
2	3	Y	slot
2	2	YELW	olang,slot
2	4	Zero	codec,slot
1	1	A New Encounter	slot
1	1	AAFSS	slot
1	1	AAG	slot
1	1	ACM	slot
1	2	ADM65	slot
1	1	AH56	slot
1	3	AH56A-B	slot
1	3	AH56A-R	slot
1	1	AI Pod	codec
1	1	AI Research Lab	slot
1	2	AI Weapon Hangar	slot
1	1	AI Weapon Hangar in Nicaragua	slot
1	1	AI for	codec
1	1	AIPOD_RSRC_IDX_KEYHELP	olang
1	1	AIs	slot
1	2	AMANDA	slot
1	1	ARTIST	slot
1	1	ASAP	codec
1	1	AUSY	slot
1	1	AUTO AIM and	slot
1	1	AUTO ASSIGN	slot
1	1	AUTO-AIM	slot
1	1	AWESOME	slot
1	1	Accurized Model	slot
1	1	Acoustic Guitar Duo	olang
1	1	Actions	slot
1	1	Activation	slot
1	1	Ad Hoc	slot
1	1	Advanced Aerial Fire Support System	slot
1	2	Aerial Mine	slot
1	1	Africa's	codec
1	1	Age of Exploration	codec
1	1	Agency	codec
1	1	Alamogordo	codec
1	1	Aldea Los Despiertos Prison Facility and	slot
1	1	Algerian	codec
1	1	Algerian Sahara in	codec
1	1	Algerian War	codec
1	1	Allied	codec
1	1	Allied GHQ	codec
1	1	Allies	slot
1	1	Allowing the POW	slot
1	3	Allows	slot
1	1	Altargozo Elbakki Munyudar	codec
1	4	Although	slot
1	1	Amand- I	slot
1	1	Amanda's Sandinistas	codec
1	1	America and Russia	slot
1	1	Americas in	slot
1	1	Americas of	codec
1	1	Anastasio Somoza Garcia	codec
1	1	Andromeda Galaxy	codec
1	1	Angola	codec
1	2	Anne and Mary	codec
1	10	Answer	slot
1	2	Anti-tank Mine	slot
1	1	Antony Del Rio	slot
1	1	Apollo	codec
1	1	Apollo and Soyuz	codec
1	1	April	codec
1	1	Arabic	codec
1	1	Argentina in the	codec
1	1	Armageddon	slot
1	1	Army Chief of Staff	slot
1	1	Army's Special Forces	codec
1	2	Assassin's Straw Box	slot
1	2	Assault Rifles	slot
1	1	Assault of the Cocoon	slot
1	1	Atomic Bomb Casualty Commission	codec
1	1	Aztec	codec
1	3	BANANAL FRUTA DE ORO	slot
1	2	BASE DEFENSE	slot
1	1	BB	slot
1	2	BIKINI TOP	slot
1	1	BODY COLOR and LINE COLOR	slot
1	1	BONG	codec
1	1	BOTTOM OF CLIFF	slot
1	1	BRIEFING MENU	slot
1	1	BUTTON	olang
1	1	BUTTON DOWN	slot
1	1	Banana Plantation in	slot
1	3	Barranquilla Coast	slot
1	1	Barrel Jacket	slot
1	1	Bataille	codec
1	1	Batista	codec
1	5	Battle Dress	slot
1	1	Baudrillard	codec
1	1	Bay of Pigs	codec
1	24	Be	slot
1	3	Binoculars	slot
1	2	Blue Team	slot
1	1	Bolivian Army in	codec
1	1	Boss AI	codec
1	1	Boss I	slot
1	1	Boss's	codec
1	1	Bottom of Cliff	slot
1	2	Box Bomb	slot
